,b_sequence,std_sequence,p_l_sequence,b_close_after,std_close_after,p_l_close_after,b_close_before,std_close_before,p_l_close_before,b_far_after,std_far_after,p_l_far_after,b_far_before,std_far_before,p_l_far_before,b_before,std_before,p_l_before,b_after,std_after,p_l_after,b_close,std_close,p_l_close,b_far,std_far,p_l_far,b_before1,std_before1,p_l_before1,b_before2,std_before2,p_l_before2,b_before1_close,std_before1_close,p_l_before1_close,b_before2_close,std_before2_close,p_l_before2_close
2097734,0.8342265480713559,0.05657725191091764,0.6152660601572019,1.1749654378983385,0.199180282800196,0.35171531260379973,,,,0.735773685296263,0.06832144526861302,0.36768051687946196,0.8444989044831941,0.087282888830128,0.7617878234091298,0.828818909262269,0.08960422053537545,0.8770866070530825,0.8381788598064004,0.07309652495874071,0.6610288567221632,1.0599454096983578,0.19507724187950742,0.36143878524566425,0.7867061167732965,0.054390347091537485,0.43823585678237714,0.8395751001415692,0.12842535137526553,0.40582854455417056,0.817327106866066,0.1263062440199788,0.5272225273013779,,,,,,
2106340,0.9498760231997224,0.030997611997829445,0.8604793878420312,0.9457059883004625,0.055344967056442956,0.19756715914527573,0.6665812595637447,0.059600002322467184,0.45591302533918204,0.9139758836974934,0.07315199193500427,0.061455381567322685,1.0282557981746956,0.04917402630838638,0.3282712150823597,0.9352493701085789,0.04158695538878036,0.8607563841012292,0.9662262280330202,0.046435480862266135,0.7608873934372035,0.8552573214962828,0.04242222703138734,0.2378987031184913,0.9961176700683155,0.04094929111554115,0.0639355342504689,1.0314840180451899,0.06567522946941275,0.8469435858640619,0.8509010565814507,0.05242974789704992,0.8848855734186657,0.6882279462936854,0.09402903775816722,0.4441006125320521,0.6494080693301462,0.07866045622607769,0.8741794115591958
2124733,0.9388121317898906,0.09016249577830034,0.5260489231669689,0.9487175155746786,0.10968929540166032,0.8061237264594076,,,,,,,0.9806659020799864,0.17872609238466436,0.42664435141993856,1.0211120669386415,0.16537663435539396,0.6152488844374215,0.8963186522554434,0.10790721379816642,0.5321743095474837,0.9311702399091729,0.10444292192376427,0.8342037263915804,0.8597002694404355,0.15257544710283918,0.5074559876892927,,,,,,,,,,,,
2174438,0.5726101640082605,0.03092335195375229,0.03462274225982221,,,,,,,,,,0.5710593276646317,0.03365448523942016,0.03316994445287909,0.5619497646175247,0.03258826722146482,0.02559692428473164,0.6341039159691982,0.09390851602456281,0.8117378409424321,,,,0.5758854907653329,0.031848816927446615,0.04296685886179094,0.6285928198063169,0.04788006299460827,0.052052871104877114,0.5021059756279026,0.04269712553417093,0.22112551514538467,,,,,,
2355765,0.9009685758949803,0.018290673965768823,0.8637754632379471,0.8786188403065935,0.04042426447831788,0.6256262389072539,0.8946641844608108,0.1550467129461803,0.5293936645482372,0.987707882430422,0.058810345155610046,0.5115240111240468,0.9022030217595408,0.02209901013248911,0.7823448135867916,0.9016242076962423,0.02184593413427541,0.7927905083024822,0.9005489398335657,0.033432709651453396,0.4225719777317585,0.8765605170143702,0.03885910478294653,0.6857282706521397,0.9116767735736137,0.020773316529349946,0.74583811889597,0.8656787253231284,0.02965609671212741,0.8990749707441867,0.9408353185687941,0.032143199276735784,0.8286076099527953,,,,,,
2414935,0.6609250691873367,0.01880739783000345,0.05925904214094586,,,,0.6510962889117667,0.05748852491827101,0.13137116103975177,0.5688939629183104,0.0588742940313671,0.21972491638911135,0.6831962643666815,0.021871547777666884,0.03968039404503446,0.666571151280257,0.020017198967895646,0.026886713166133464,0.6107785596651528,0.05490985797192229,0.10518809907819586,0.6762063690606885,0.05379393139151018,0.09728223218804491,0.6720912396773697,0.020572616989418566,0.07553362825073856,0.6615526604129811,0.027993059279570874,0.3032670510044672,0.670927464398859,0.028657234890903417,0.11219415311499384,0.6882279462936854,0.09079858417261452,0.8245816802897431,0.618967968939716,0.07392242529981362,0.025705202209152924
2500259,0.530266857559758,0.01930438397766623,0.3323952664038787,,,,0.4507837473518811,0.0669213174664874,0.6331368587187,0.5956088803786785,0.06874397809158818,0.9470733954575821,0.5272252806836563,0.021105111316432917,0.35532170901877275,0.5258270292916232,0.02019365887555753,0.3145423708775139,0.5734390734204617,0.06550190465442833,0.977986306481093,0.44435802087016596,0.05926204749990782,0.3668501542374697,0.5337106019191272,0.02020600030960768,0.365829250644171,0.5451730006815168,0.029516531934783753,0.7434154482147396,0.5071029670540664,0.02768957148517911,0.5699380067226503,,,,,,
2533082,0.8587160677169514,0.021710385154172222,0.6953787526617383,,,,0.7367215126284914,0.07026132111999005,0.21653068991634472,,,,0.8595988683462954,0.022334824448748694,0.7077561685889439,0.8587160677169514,0.021710385154172222,0.683295374672482,,,,0.7367215126284914,0.07026132111999005,0.22680677258320653,0.8595988683462954,0.022334824448748694,0.7168239486068475,0.8594348516324795,0.03151806133462205,0.702896255073926,0.8569920799483507,0.02985907985299792,0.5816714140804315,0.6151803791921497,0.07934947018051823,0.2140536735227096,0.8623635216889725,0.11762233428775994,0.48471323782675996
2726845,1.036309878686014,0.018081911214604625,0.02579758915045852,1.0694008126675971,0.02081303254604082,0.02634661550894118,0.8387246595766421,0.050753416991511036,0.16705464625939015,1.0214940153861,0.07587836115347486,0.3448101623274956,0.8587140887455247,0.05751027549698966,0.20232246419521574,0.8644457932989147,0.0399580688415871,0.5674922555503885,1.072535663204751,0.0200332492975901,0.053142297995535166,1.038796287944718,0.019469887404589766,0.004829140834581758,0.9400692616718211,0.04713613014832089,0.8055544664608881,0.9551607124828077,0.0602277641843496,0.3270769491722919,0.7878737915876157,0.05231353622657801,0.3557068711596801,0.9781790086245334,0.08233037421941665,0.061783412234637736,0.7352260596957598,0.06181373280797977,0.3039699446746826
3165830,0.900151239744065,0.032496056758500994,0.02134397190513041,0.8933127157027342,0.050252004401350865,0.007237707965417327,,,,0.9029725095308604,0.10994248858547864,0.7145749497610513,0.888423912600234,0.04439622288670696,0.6781191141012599,0.8834215963296008,0.04392941684692502,0.8025313091329945,0.9159895259877076,0.047835673612879805,0.00813709099999276,0.8787607943561014,0.048632403683943275,0.0020356377998151354,0.8901911666407811,0.04119789799547551,0.7203946179939109,0.8593899510387868,0.056857383991780766,0.6627141448179188,0.9105134259222265,0.06842096020576853,0.5919776992162523,,,,,,
